Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,65 to 74 years,2018,gs1datot,662.7162598946808,7.772813660447654,561.7551831532091,763.6773366361524,648,Total amount of donations,Average total amount of donations,ON,NA
Age group,75 years and over,2018,gs1datot,890.0387900034247,11.770225367386143,684.7138029440767,1095.3637770627727,418,Total amount of donations,Average total amount of donations,ON,NA
Age group,15 to 24 years,2018,gs1datot,418.62187581484136,31.69121337934272,158.6006040970317,678.643147532651,65,Total amount of donations,Average total amount of donations,PR,*
Age group,25 to 34 years,2018,gs1datot,571.3105287829392,18.08290259464301,368.8275777148432,773.7934798510352,209,Total amount of donations,Average total amount of donations,PR,*
Age group,35 to 44 years,2018,gs1datot,792.1352971245449,17.451728688415766,521.1873222659231,1063.0832719831667,234,Total amount of donations,Average total amount of donations,PR,*
Age group,45 to 54 years,2018,gs1datot,734.2841894247208,16.866248780638145,491.5501014377889,977.0182774116527,230,Total amount of donations,Average total amount of donations,PR,*
Age group,55 to 64 years,2018,gs1datot,744.8783685272974,11.928832090866067,570.725200560335,919.0315364942599,339,Total amount of donations,Average total amount of donations,PR,NA
Age group,65 to 74 years,2018,gs1datot,811.4643973633815,12.055484870818429,619.7290240044094,1003.1997707223536,319,Total amount of donations,Average total amount of donations,PR,NA
Age group,75 years and over,2018,gs1datot,1614.7793490845145,18.253059529214426,1037.0865582466113,2192.4721399224177,203,Total amount of donations,Average total amount of donations,PR,*
Age group,15 to 24 years,2018,gs1datot,52.93515531980664,24.33912699066971,27.683068176408085,78.1872424632052,44,Total amount of donations,Average total amount of donations,QC,*
Age group,25 to 34 years,2018,gs1datot,213.86394903184856,20.15523695135972,129.3801215359584,298.3477765277387,154,Total amount of donations,Average total amount of donations,QC,*
Age group,35 to 44 years,2018,gs1datot,193.89046012725592,10.954658517004647,152.26075100116643,235.52016925334541,254,Total amount of donations,Average total amount of donations,QC,NA
Age group,45 to 54 years,2018,gs1datot,215.13698035656282,14.349299998868,154.63161676630426,275.64234394682137,204,Total amount of donations,Average total amount of donations,QC,NA
Age group,55 to 64 years,2018,gs1datot,261.65821174388907,11.790492707276238,201.1917697970069,322.12465369077125,354,Total amount of donations,Average total amount of donations,QC,NA
